Order Date,Category,Sales
2011-01-04,Office Supplies,16.448
2011-01-05,Office Supplies,288.06
2011-01-06,Office Supplies,19.536
2011-01-07,Furniture,2573.82
2011-01-07,Office Supplies,685.34
2011-01-07,Technology,1147.94
2011-01-08,Furniture,76.72800000000001
2011-01-08,Office Supplies,10.429999999999998
2011-01-10,Office Supplies,9.344
2011-01-10,Technology,31.200000000000003
2011-01-11,Furniture,51.94
2011-01-11,Office Supplies,2.89
2011-01-12,Furniture,9.94
2011-01-14,Furniture,879.9389999999999
2011-01-14,Office Supplies,2027.1160000000004
2011-01-14,Technology,646.74
2011-01-15,Furniture,61.96
2011-01-16,Technology,149.95
2011-01-17,Furniture,127.10400000000001
2011-01-17,Office Supplies,48.66000000000001
2011-01-17,Technology,124.19999999999999
2011-01-19,Office Supplies,64.864
2011-01-20,Furniture,181.47000000000003
2011-01-20,Office Supplies,197.124
2011-01-21,Furniture,1413.51
2011-01-21,Office Supplies,560.4300000000001
2011-01-21,Technology,699.93
2011-01-22,Furniture,25.248
2011-01-24,Office Supplies,46.019999999999996
2011-01-27,Furniture,217.20000000000002
2011-01-27,Office Supplies,536.72
2011-01-27,Technology,343.33
2011-01-28,Furniture,333.0
2011-01-28,Office Supplies,93.66999999999999
2011-01-29,Office Supplies,3.9280000000000004
2011-01-31,Office Supplies,240.5
2011-02-01,Furniture,290.666
2011-02-02,Technology,468.90000000000003
2011-02-03,Office Supplies,30.686000000000003
2011-02-03,Technology,180.96
2011-02-04,Office Supplies,97.11200000000001
2011-02-05,Office Supplies,134.38400000000001
2011-02-07,Office Supplies,23.951999999999998
2011-02-07,Technology,306.56
2011-02-08,Office Supplies,64.96
2011-02-08,Technology,115.36
2011-02-09,Furniture,14.56
2011-02-12,Furniture,1650.05
2011-02-12,Office Supplies,158.9
2011-02-12,Technology,234.45000000000002
2011-02-13,Furniture,129.568
2011-02-15,Office Supplies,336.756
2011-02-15,Technology,239.96999999999997
2011-02-16,Office Supplies,21.36
2011-02-17,Office Supplies,9.039999999999997
2011-02-18,Office Supplies,54.208
2011-02-19,Furniture,25.16
2011-02-19,Office Supplies,12.624
2011-02-21,Furniture,20.32
2011-02-21,Office Supplies,12.96
2011-02-21,Technology,62.31
2011-02-22,Office Supplies,8.849999999999998
2011-02-23,Office Supplies,19.44
2011-02-24,Office Supplies,11.364
2011-02-25,Office Supplies,55.672000000000004
2011-02-28,Office Supplies,19.456000000000003
2011-03-01,Furniture,1893.995
2011-03-01,Office Supplies,303.216
2011-03-01,Technology,5.9399999999999995
2011-03-02,Office Supplies,51.184
2011-03-02,Technology,151.20000000000002
2011-03-03,Furniture,928.8020000000001
2011-03-03,Office Supplies,407.09999999999997
2011-03-03,Technology,9.99
2011-03-04,Office Supplies,370.45200000000006
2011-03-05,Office Supplies,225.59199999999998
2011-03-05,Technology,479.97
